,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Nome,US,64.5,-165.41,44.6,75,90,5.82
1,Jaffna,LK,9.67,80.01,83.23,75,95,9.51
2,Ancud,CL,-41.87,-73.82,51.01,54,0,5.01
3,Liverpool,GB,53.41,-2.98,70.0,52,40,3.36
4,Hokitika,NZ,-42.72,170.97,42.82,74,100,6.17
5,Barreirinha,BR,-2.79,-57.07,90.61,50,22,5.12
6,Barrow,US,71.29,-156.79,35.6,80,90,13.87
7,Vila Velha,BR,-20.33,-40.29,78.01,78,75,13.87
8,Rikitea,PF,-23.12,-134.97,67.78,83,49,21.47
9,Cherskiy,RU,68.75,161.3,40.14,84,98,5.95
10,Upernavik,GL,72.79,-56.15,38.89,92,100,6.58
11,Kapaa,US,22.08,-159.32,78.8,78,75,13.87
12,Ribeira Grande,PT,38.52,-28.7,75.2,69,40,5.82
13,Hermanus,ZA,-34.42,19.23,63.0,70,100,18.01
14,Bubaque,GW,11.28,-15.83,79.2,82,99,21.18
15,Busselton,AU,-33.65,115.33,55.0,61,89,20.24
16,Tasiilaq,GL,65.61,-37.64,39.2,86,75,11.41
17,Wajir,KE,1.75,40.06,95.0,32,40,6.93
18,Maunabo,PR,18.01,-65.9,84.99,100,100,7.0
19,Qaanaaq,GL,77.48,-69.36,30.65,83,0,2.93
20,Ostrovnoy,RU,68.05,39.51,52.34,67,100,13.6
21,Dikson,RU,73.51,80.55,48.13,75,87,9.64
22,Mīrābād,AF,30.44,61.84,88.32,14,0,15.14
23,Hong Kong,HK,22.29,114.16,86.0,74,63,11.01
24,Amilly,FR,47.97,2.77,71.01,47,32,4.0
25,San Antonio,US,29.42,-98.49,84.99,78,90,14.99
26,Bathsheba,BB,13.22,-59.52,86.0,70,40,9.17
27,Quepos,CR,9.42,-84.17,77.0,64,21,11.41
28,Buala,SB,-8.14,159.59,78.82,85,100,6.46
29,Waddān,LY,29.16,16.14,104.32,8,0,10.45
30,Castro,BR,-24.79,-50.01,65.71,75,81,11.3
31,Atuona,PF,-9.8,-139.03,77.79,73,29,22.35
32,Bluff,NZ,-46.6,168.33,38.41,80,20,8.12
33,Ambon City,ID,-3.7,128.18,75.2,94,40,9.17
34,Bredasdorp,ZA,-34.53,20.04,64.4,68,71,21.92
35,Avarua,CK,-21.21,-159.78,73.4,83,15,12.75
36,Vaini,TO,-21.2,-175.2,73.4,100,75,5.82
37,Touros,BR,-5.2,-35.46,82.4,65,40,14.99
38,Lebu,CL,-37.62,-73.65,51.12,80,0,4.09
39,Ushuaia,AR,-54.8,-68.3,37.4,64,100,6.93
40,Huron,US,41.15,-82.55,75.99,92,0,4.0
41,Mataura,NZ,-46.19,168.86,30.79,98,0,1.83
42,Turukhansk,RU,65.82,87.98,53.53,80,79,10.74
43,Kunming,CN,25.04,102.72,73.0,88,1,6.71
44,Shingū,JP,33.73,135.98,78.89,91,79,6.89
45,Puerto Baquerizo Moreno,EC,-0.9,-89.6,64.26,84,100,12.68
46,São Filipe,CV,14.9,-24.5,77.32,77,100,13.13
47,Sur,OM,22.57,59.53,88.2,53,0,6.31
48,Nam Som,TH,17.77,102.19,81.0,99,7,2.51
49,Fairbanks,US,64.84,-147.72,48.2,100,90,4.7
50,Saint George,US,37.1,-113.58,73.0,24,1,12.75
51,Bangassou,CF,4.74,22.82,87.85,57,38,3.6
52,Uarini,BR,-2.99,-65.11,86.0,79,40,11.41
53,San Quintín,MX,30.48,-115.95,66.92,85,46,5.93
54,Lampazos de Naranjo,MX,27.02,-100.52,84.72,66,31,5.64
55,Urengoy,RU,65.97,78.37,55.08,72,12,9.26
56,Amargosa,BR,-13.03,-39.6,77.4,63,18,13.27
57,Port Alfred,ZA,-33.59,26.89,64.06,63,93,34.36
58,Hobart,AU,-42.88,147.33,46.4,75,99,6.93
59,De Aar,ZA,-30.65,24.01,69.84,24,48,25.32
60,Korla,CN,41.76,86.15,82.02,21,85,6.87
61,Moindou,NC,-21.69,165.68,64.4,72,90,2.24
62,Butaritari,KI,3.07,172.79,83.44,75,56,13.78
63,Dunedin,NZ,-45.87,170.5,39.0,73,0,1.01
64,Airai,TL,-8.93,125.41,58.15,100,9,3.02
65,Kedrovyy,RU,56.17,91.82,60.8,87,40,11.18
66,Muravlenko,RU,63.79,74.52,54.57,76,100,8.93
67,Hilo,US,19.73,-155.09,73.4,88,90,6.93
68,Lázaro Cárdenas,MX,17.96,-102.2,77.86,81,45,5.01
69,Yellowknife,CA,62.46,-114.35,41.0,86,75,11.41
70,Tuktoyaktuk,CA,69.45,-133.04,44.6,93,75,9.17
71,Hirara,JP,24.8,125.28,84.92,80,100,26.91
72,Kulhudhuffushi,MV,6.62,73.07,82.74,74,100,13.78
73,Anqiu,CN,36.43,119.19,71.92,80,0,2.46
74,Dvinskoy Bereznik,RU,62.86,42.71,57.13,60,64,6.42
75,Clyde River,CA,70.47,-68.59,42.8,75,90,13.87
76,Malindi,KE,-3.22,40.12,80.6,65,20,27.51
77,Tuatapere,NZ,-46.13,167.68,34.83,88,1,3.62
78,Varkaus,FI,62.32,27.87,64.4,48,40,6.93
79,Diamantino,BR,-14.41,-56.45,95.2,18,0,5.12
80,Cape Town,ZA,-33.93,18.42,69.01,42,71,23.04
81,Albany,US,42.6,-73.97,69.01,69,100,1.01
82,Qasigiannguit,GL,68.82,-51.19,33.8,100,90,9.17
83,Uglekamensk,RU,43.22,133.23,60.44,91,65,1.7
84,Severo-Kuril'sk,RU,50.68,156.12,49.89,66,100,6.35
85,Dingle,PH,11.0,122.67,77.7,87,1,2.82
86,Rawson,AR,-43.3,-65.1,52.2,50,0,18.45
87,Cabo San Lucas,MX,22.89,-109.91,81.0,74,40,6.93
88,Danville,US,36.59,-79.39,71.6,88,90,5.82
89,Lingyuan,CN,41.24,119.4,65.5,52,4,3.87
90,Bethel,US,41.37,-73.41,70.0,82,90,8.05
91,Yar-Sale,RU,66.83,70.83,50.47,72,100,1.45
92,Bilma,NE,18.69,12.92,102.78,13,0,3.6
93,Horsham,GB,51.06,-0.33,69.01,48,40,6.93
94,Kundiawa,PG,-6.02,144.97,61.11,79,100,1.79
95,Korsholm,FI,63.11,21.68,62.6,39,0,6.93
96,Arraial do Cabo,BR,-22.97,-42.03,78.8,74,40,8.05
97,Kontagora,NG,10.4,5.47,79.39,84,91,5.35
98,Palmerston,AU,-12.49,130.98,80.01,65,86,3.36
99,Nemuro,JP,43.32,145.57,56.77,91,0,10.0
100,Saldanha,ZA,-33.01,17.94,69.8,32,52,10.29
101,Sühbaatar,MN,50.23,106.21,52.09,65,4,2.95
102,Novorudnyy,RU,51.5,58.19,87.8,23,0,6.71
103,Aracati,BR,-4.56,-37.77,90.52,40,35,14.45
104,Belmonte,BR,-15.86,-38.88,77.0,65,75,9.17
105,Vicuña,CL,-30.03,-70.71,48.0,72,31,3.0
106,Narsaq,GL,60.92,-46.05,46.4,70,75,2.24
107,Thompson,CA,55.74,-97.86,50.0,87,75,5.82
108,Karratha,AU,-20.74,116.85,79.23,28,6,11.63
109,Isangel,VU,-19.55,169.27,67.6,70,34,7.07
110,Punta Arenas,CL,-53.15,-70.92,33.8,86,100,8.05
111,Kahului,US,20.89,-156.47,78.8,69,90,12.75
112,Barra do Garças,BR,-15.89,-52.26,96.8,23,0,9.51
113,Jamestown,US,42.1,-79.24,69.01,93,90,5.82
114,Borger,NL,52.92,6.79,71.01,48,22,1.99
115,Matagami,CA,49.75,-77.63,60.8,82,90,9.44
116,Puerto Ayora,EC,-0.74,-90.35,64.9,80,100,10.58
117,Souillac,MU,-20.52,57.52,71.6,78,40,12.75
118,Kruisfontein,ZA,-34.0,24.73,66.0,64,73,15.99
119,Buin,CL,-33.73,-70.75,53.01,100,90,2.24
120,Borodino,RU,55.91,94.9,60.22,74,76,10.29
121,Norman Wells,CA,65.28,-126.83,46.4,100,90,3.36
122,Walvis Bay,NA,-22.96,14.51,61.0,74,0,24.94
123,Fillan,NO,63.61,8.97,62.6,55,20,9.17
124,Senador José Porfírio,BR,-2.59,-51.95,86.02,60,3,2.75
125,Benguela,AO,-12.58,13.41,75.2,73,40,9.17
126,Krasnosel'kup,RU,65.7,82.47,55.67,69,0,13.11
127,Godda,IN,24.83,87.22,82.29,85,100,3.74
128,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,48.2,100,100,4.47
129,Arrondissement de Millau,FR,44.08,2.92,69.8,43,100,5.82
130,Cidreira,BR,-30.18,-50.21,58.26,88,100,17.92
131,Qaqortoq,GL,60.72,-46.03,46.4,70,75,2.24
132,Muslyumovo,RU,55.3,53.19,75.33,62,78,10.94
133,Chui,UY,-33.7,-53.46,52.21,74,100,12.48
134,Mossamedes,AO,-15.2,12.15,69.8,68,75,12.75
135,Venice,US,27.1,-82.45,87.01,74,1,2.75
136,Vostok,RU,46.49,135.88,57.81,86,100,4.5
137,Pertuis,FR,43.69,5.5,80.01,36,100,14.99
138,Saint-Philippe,RE,-21.36,55.77,72.0,68,38,17.22
139,Kutum,SD,14.2,24.67,85.78,35,85,10.67
140,Poum,NC,-20.23,164.02,70.77,68,58,6.67
141,Sijunjung,ID,-0.69,100.95,73.63,88,99,2.44
142,Saint-Pierre,RE,-21.34,55.48,72.0,68,32,17.22
143,Bitkine,TD,11.98,18.21,83.52,65,64,5.32
144,Olafsvik,IS,64.89,-23.71,52.21,83,31,8.63
145,Mar del Plata,AR,-38.0,-57.56,46.4,61,75,9.17
146,Altay,CN,47.87,88.12,62.35,33,0,1.5
147,Matara,LK,5.95,80.54,79.54,83,100,6.55
148,Talnakh,RU,69.49,88.4,48.2,81,92,13.42
149,Latung,PH,5.5,120.88,84.9,77,88,2.77
150,Mabaruma,GY,8.2,-59.78,88.9,56,23,3.71
151,Pitimbu,BR,-7.47,-34.81,82.4,69,75,14.99
152,Boa Vista,BR,2.82,-60.67,86.0,62,40,6.93
153,Provideniya,RU,64.38,-173.3,40.71,75,21,5.08
154,Pombal,BR,-6.77,-37.8,92.91,16,18,16.02
155,Aleksandrów Łódzki,PL,51.82,19.3,57.0,100,75,17.22
156,Iqaluit,CA,63.75,-68.51,46.4,81,20,3.36
157,Vitim,RU,59.45,112.56,54.32,68,100,5.5
158,Roura,GF,4.73,-52.33,87.8,62,75,5.82
159,Nālchiti,BD,22.63,90.28,80.35,88,100,3.96
160,Ayorou,NE,14.73,0.92,94.66,36,0,2.19
161,Cascais,PT,38.7,-9.42,79.0,53,20,19.46
162,Gushikawa,JP,26.35,127.87,84.2,83,40,28.86
163,Florø,NO,61.6,5.03,60.8,63,40,13.87
164,Lodja,CD,-3.48,23.43,88.86,50,80,0.78
165,Nikolskoye,RU,59.7,30.79,62.6,48,40,11.18
166,Carbonia,IT,39.17,8.52,84.2,39,20,13.87
167,Mācherla,IN,16.48,79.43,82.72,79,100,4.47
168,Chihuahua,MX,28.5,-106.0,71.6,83,75,4.7
169,Kumul,CN,42.8,93.45,79.9,15,98,2.44
170,Beyneu,KZ,45.32,55.2,92.84,12,0,4.36
171,Ishigaki,JP,24.34,124.16,85.08,79,100,14.34
172,Khatanga,RU,71.97,102.5,45.57,77,0,12.73
173,Sirte,LY,31.21,16.59,85.06,54,0,12.3
174,Hithadhoo,MV,-0.6,73.08,82.27,78,100,11.36
175,Koumac,NC,-20.57,164.28,68.11,70,76,4.09
176,Millinocket,US,45.66,-68.71,59.0,87,90,4.7
177,Ola,RU,59.58,151.28,48.83,87,48,5.66
178,New Norfolk,AU,-42.78,147.06,43.0,69,100,1.01
179,Kudat,MY,6.88,116.85,77.0,94,20,1.79
180,Bambous Virieux,MU,-20.34,57.76,72.0,78,40,12.75
181,Strezhevoy,RU,60.73,77.59,53.6,100,90,6.71
182,Ilulissat,GL,69.22,-51.1,33.8,100,90,9.17
183,Benidorm,ES,38.54,-0.13,78.01,58,100,3.0
184,Kiryat Gat,IL,31.61,34.76,90.0,62,20,10.29
185,East London,ZA,-33.02,27.91,64.4,63,20,23.04
186,Wanning,CN,18.8,110.4,81.95,82,25,2.33
187,Mahébourg,MU,-20.41,57.7,71.6,78,40,12.75
188,Mount Gambier,AU,-37.83,140.77,55.4,43,100,13.87
189,Faanui,PF,-16.48,-151.75,77.49,76,56,25.52
190,Manaus,BR,-3.1,-60.02,78.8,88,75,20.8
191,Yulara,AU,-25.24,130.99,59.0,24,0,5.82
192,Taitung City,TW,22.76,121.14,82.62,76,100,3.15
193,Ust'-Omchug,RU,61.15,149.63,44.04,85,100,4.88
194,Berlevåg,NO,70.86,29.09,48.2,61,40,18.34
195,Øksfjord,NO,70.24,22.35,53.6,62,75,3.36
196,Seddon,AU,-37.81,144.89,55.0,66,100,18.34
197,Berezovyy,RU,51.67,135.7,58.51,93,100,0.94
198,Fortuna,US,40.6,-124.16,53.01,100,1,0.78
199,Hastings,GB,50.86,0.57,66.99,60,26,3.0
200,Santa Cruz,MA,30.42,-9.6,87.8,45,20,16.11
201,Haines Junction,CA,60.75,-137.51,46.56,79,100,5.55
202,Brandfort,ZA,-28.7,26.46,60.8,51,75,23.04
203,Rio Grande,BR,-32.03,-52.1,53.01,97,100,3.0
204,Porto Belo,BR,-27.16,-48.55,64.99,88,75,8.05
205,Kavieng,PG,-2.57,150.8,80.64,76,100,1.3
206,George Town,MY,5.41,100.34,86.0,83,20,4.7
207,Half Moon Bay,US,37.46,-122.43,61.0,93,90,6.93
208,Sibolga,ID,1.74,98.78,76.75,84,97,3.27
209,Kenai,US,60.55,-151.26,54.0,81,90,8.05
210,Padang,ID,-0.95,100.35,78.62,79,97,4.32
211,Quatre Cocos,MU,-20.21,57.76,72.0,78,40,12.75
212,Umluj,SA,25.02,37.27,91.76,56,0,10.63
213,Tiksi,RU,71.69,128.87,43.5,81,42,12.15
214,Pevek,RU,69.7,170.31,36.03,95,66,7.47
215,Shache,CN,38.42,77.24,74.23,19,100,5.14
216,Paamiut,GL,61.99,-49.67,44.24,84,46,7.76
217,Bethanien,NA,-26.5,17.16,65.12,17,0,23.89
218,Maniitsoq,GL,65.42,-52.9,44.1,82,67,21.54
219,Sheridan,US,44.83,-106.92,55.99,66,1,3.36
220,La Palma,US,33.85,-118.05,66.99,77,90,4.21
221,Jalu,LY,29.03,21.55,100.87,11,0,11.52
222,The Valley,AI,18.22,-63.06,87.8,74,40,17.22
223,Mount Isa,AU,-20.73,139.5,57.2,33,51,9.35
224,Port-Cartier,CA,50.03,-66.87,57.2,67,75,10.29
225,Fuerte Olimpo,PY,-21.04,-57.87,72.9,56,0,7.67
226,Durango,MX,24.83,-104.83,64.44,76,81,4.61
227,Port Moresby,PG,-9.44,147.18,77.0,83,40,23.04
228,Coyhaique,CL,-45.58,-72.07,35.6,70,0,3.36
229,Balabac,PH,7.99,117.06,82.6,73,94,3.15
230,San Policarpo,PH,12.18,125.51,82.49,81,0,8.37
231,Saint Paul Harbor,US,57.79,-152.41,51.3,82,100,8.39
232,Hasaki,JP,35.73,140.83,77.0,94,75,9.17
233,Córdoba,AR,-31.41,-64.18,46.99,75,100,8.05
234,Torbay,CA,47.67,-52.73,57.0,76,75,12.75
235,Maumere,ID,-8.62,122.21,78.33,79,2,4.65
236,Sechura,PE,-5.56,-80.82,63.97,78,100,11.92
237,Władysławowo,PL,54.79,18.4,66.0,59,20,12.75
238,Bandarbeyla,SO,9.49,50.81,80.98,70,13,31.61
239,Vanavara,RU,60.34,102.28,56.93,94,100,9.24
240,Mandera,KE,3.94,41.87,94.8,26,48,18.43
241,Spornoye,RU,50.84,37.29,91.4,21,0,2.24
242,Esil,KZ,51.96,66.4,78.03,47,56,4.23
243,Andenes,NO,69.31,16.12,55.4,71,75,11.41
244,Grand Gaube,MU,-20.01,57.66,72.0,74,2,7.0
245,Chokurdakh,RU,70.63,147.92,37.65,91,99,7.99
246,Adrar,MR,20.5,-10.07,99.95,26,25,11.83
247,Mareeba,AU,-17.0,145.43,71.6,68,90,10.29
248,Benghazi,LY,32.12,20.07,83.52,55,0,14.09
249,Tsumeb,NA,-19.23,17.72,86.63,18,84,16.6
250,Stepnyak,KZ,52.83,70.78,71.83,66,53,7.49
251,Longyearbyen,SJ,78.22,15.64,39.2,89,75,18.34
252,Tarusa,RU,54.72,37.18,69.8,60,20,11.18
253,Camaná,PE,-16.62,-72.71,59.36,81,100,11.21
254,Aasiaat,GL,68.71,-52.87,40.41,83,90,18.34
255,Lorengau,PG,-2.02,147.27,79.54,87,100,13.13
256,Thinadhoo,MV,0.53,72.93,82.92,72,100,10.67
257,Lithgow,AU,-33.48,150.15,44.01,85,100,2.75
258,Flinders,AU,-34.58,150.86,55.0,68,29,7.0
259,Roald,NO,62.58,6.13,62.01,72,20,9.17
260,Gunjur,GM,13.2,-16.73,86.0,79,75,9.17
261,Ust-Nera,RU,64.57,143.2,43.52,71,87,1.79
262,Qingyuan,CN,23.7,113.03,86.0,74,0,3.56
263,Tigzirt,DZ,36.89,4.12,80.87,50,3,15.21
264,Chapada dos Guimarães,BR,-15.46,-55.75,80.6,47,0,6.93
265,Cayenne,GF,4.93,-52.33,87.8,62,75,5.82
266,Sokol'skoye,RU,57.14,43.16,65.66,76,94,14.14
267,Mahon,ES,39.89,4.27,78.8,44,100,9.17
268,Los Llanos de Aridane,ES,28.66,-17.92,77.0,78,75,10.29
269,Togur,RU,58.36,82.83,53.71,89,84,10.74
270,Umm Hājar,TD,13.3,19.7,90.75,44,0,2.64
271,Teknāf,BD,20.86,92.31,79.81,89,100,7.11
272,Nanortalik,GL,60.14,-45.24,42.69,84,98,2.95
273,Nachingwea,TZ,-10.38,38.77,89.44,26,19,9.78
274,Zalesovo,RU,53.99,84.74,61.68,85,100,5.41
275,San Patricio,MX,19.22,-104.7,80.6,78,40,6.93
276,Kupang,ID,-10.17,123.58,77.88,78,0,12.24
277,Sorong,ID,-0.88,131.25,79.95,81,90,1.03
278,Delicias,ES,41.65,-0.91,82.0,26,20,5.82
279,Khor,RU,47.89,134.95,64.06,84,100,7.09
280,Port Elizabeth,ZA,-33.92,25.57,64.4,68,40,26.4
281,Pechora,RU,65.15,57.22,48.09,86,100,8.01
282,Ketchikan,US,55.34,-131.65,55.4,100,90,9.17
283,Anadyr,RU,64.75,177.48,37.4,86,100,4.47
